bank,vader_compound,vader_positive,vader_neutral,vader_negative,textblob_polarity,textblob_subjectivity,distilbert_positive,distilbert_negative,distilbert_confidence,ensemble_confidence,vader_label_negative,vader_label_neutral,vader_label_positive,textblob_label_negative,textblob_label_neutral,textblob_label_positive,distilbert_label_neutral,ensemble_label_negative,ensemble_label_neutral,ensemble_label_positive
Bank of Abyssinia,0.36,0.217,0.732,0.051,0.137,0.456,0.0,0.0,0.0,0.671,0.18705035971223022,0.1366906474820144,0.6762589928057554,0.1366906474820144,0.2302158273381295,0.6330935251798561,1.0,0.1223021582733813,0.2949640287769784,0.5827338129496403
Commercial Bank of Ethiopia,0.375,0.218,0.727,0.055,0.148,0.461,0.0,0.0,0.0,0.661,0.1796875,0.09375,0.7265625,0.140625,0.21875,0.640625,1.0,0.1328125,0.2578125,0.609375
Dashen Bank,0.4,0.228,0.724,0.048,0.147,0.458,0.0,0.0,0.0,0.671,0.14383561643835616,0.10273972602739725,0.7534246575342466,0.136986301369863,0.2054794520547945,0.6575342465753424,1.0,0.11643835616438356,0.2534246575342466,0.6301369863013698
